EPEA_Nro,Cruise,Year,Month,Day,Tipo_visita,Month_,Barco,Temp,Sal,NTS,OD,pH,AT,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2008,NA,NA,NA,ene,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,ago,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2008,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,OB200801,2008,10,10,Propia,oct,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
74,OB200803,2008,11,20,Oportunista,nov,OB,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,NA,FITO,NA,NA
75,OB200804,2008,12,17,Propia,dic,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,NA,ICTIO
76,OB200901,2009,1,21,Oportunista,ene,OB,Temp,Sal,NA,NA,NA,NA,Cla,ABSO,NA,PP,NA,FITO,NA,NA
77,CC200901,2009,2,12,Propia,feb,CC,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
78,OB200904,2009,3,23,Propia,mar,OB,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
79,OB200906,2009,4,29,Propia,abr,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2009,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,CC200908,2009,6,10,Propia,jun,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
81,CC200909,2009,6,26,Propia,jun,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2009,NA,NA,NA,jul,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,CC200911,2009,8,6,Propia,ago,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2009,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2009,NA,NA,NA,dic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,OB201001,2010,1,15,Oportunista,ene,OB,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,NA,FITO,NA,NA
NA,NA,2010,NA,NA,NA,feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2010,NA,NA,NA,jun,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,PD201005,2010,7,5,Oportunista,jul,PD,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,ZOO,ICTIO
85,CC201001,2010,8,19,Propia,ago,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,NA,ICTIO
NA,NA,2010,NA,NA,NA,sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,PD201007,2010,10,2,Oportunista,oct,PD,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
87,CC201005,2010,10,8,Propia,oct,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
88,PD201007,2010,10,12,Oportunista,oct,PD,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,NA,BACT,FITO,ZOO,ICTIO
NA,NA,2010,NA,NA,NA,nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,PD201008,2010,12,20,Oportunista,dic,PD,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,ZOO,ICTIO
90,CC201010,2010,12,28,Propia,dic,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,ZOO,ICTIO
91,CC201103,2011,1,27,Propia,ene,CC,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,CDOM,NA,BACT,FITO,NA,ICTIO
92,OB201103,2011,2,26,Propia,feb,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,ZOO,ICTIO
NA,NA,2011,NA,NA,NA,mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,abr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,2011,NA,NA,NA,may,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,OB201106,2011,6,17,Propia,jun,OB,Temp,Sal,NTS,OD,NA,NA,Cla,ABSO,NA,PP,BACT,FITO,ZOO,ICTIO
94,PD201102,2011,7,2,Oportunista,jul,PD,Temp,Sal,NTS,NA,NA,NA,Cla,ABSO,NA,PP,NA,FITO,NA,NA
