Year;Month;Nro_visitas;Tipo_visita;Barco;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2010;jul;unica;Oportunista;PD;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;PP;BACT;FITO;ZOO;ICTIO
2010;ago;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;NA;ICTIO
2010;sep;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;oct;multiple;Propia_Oportunista;PD-CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2010;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2010;dic;multiple;Propia_Oportunista;PD-CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2011;ene;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;NA;ICTIO
2011;feb;unica;Propia;OB;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;NA;PP;BACT;FITO;ZOO;ICTIO
2011;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;jun;unica;Propia;OB;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;NA;PP;BACT;FITO;ZOO;ICTIO
2011;jul;unica;Oportunista;PD;Temp;Sal;NA;NA;NA;NA;Cla;ABSO;NA;PP;NA;FITO;NA;NA
2011;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;sep;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;oct;unica;Oportunista;AD;Temp;Sal;NA;NA;NA;NA;NA;ABSO;NA;NA;NA;NA;NA;NA
2011;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;dic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;feb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;jul;unica;Oportunista;PD;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;PP;NA;FITO;NA;NA
2012;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;sep;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;oct;unica;Propia;OB;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2012;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2012;dic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;ene;multiple;Oportunista;EH-OB;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;PP;BACT;FITO;ZOO;ICTIO
2013;feb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;jul;unica;Propia;OB;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2013;ago;unica;Propia;CR;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2013;sep;unica;Oportunista;OB;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;NA;NA;FITO;ZOO;ICTIO
2013;oct;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2013;dic;unica;Oportunista;EH;Temp;Sal;NTS;NA;NA;NA;Cla;NA;NA;NA;NA;FITO;ZOO;ICTIO
2014;ene;multiple;Oportunista;EH-OB;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;PP;NA;FITO;ZOO;ICTIO
2014;feb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;mar;unica;Propia;OB;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2014;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;jul;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;sep;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;oct;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014;dic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;feb;unica;Propia;AH;Temp;NA;NA;NA;NA;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2015;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;abr;unica;Propia;AH;Temp;Sal;NTS;OD;NA;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2015;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;jul;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;sep;unica;Propia;AH;Temp;Sal;NTS;OD;NA;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2015;oct;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2015;dic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;feb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;abr;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2016;may;unica;Oportunista;PD;Temp;Sal;NTS;NA;pH;AT;Cla;ABSO;NA;NA;BACT;FITO;NA;NA
2016;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;jul;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2016;sep;unica;Propia;AH;Temp;Sal;NTS;NA;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2016;oct;multiple;Propia_Oportunista;EH-AH;Temp;Sal;NTS;NA;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2016;nov;unica;Oportunista;PD;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;PP;BACT;FITO;NA;NA
2016;dic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;feb;unica;Oportunista;EH;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;NA;BACT;FITO;ZOO;ICTIO
2017;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;may;multiple;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2017;jun;unica;Oportunista;PD;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;NA;PP;BACT;FITO;NA;NA
2017;jul;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
